date,verse_title,total_match_indices,score,matches_woodruff,matches_scriptures
"August 20, 1843 ",Revelation 16:3,"[(3073, 281), (3074, 282)]",0.78721,ch 3 v that he poured out his vial upon the sea and it became as the blood of a dead man and evry living soul,And the second angel poured out his vial upon the sea and it became as the blood of a dead man and every living soul died in the sea
"April 7, 1844 ",Luke 15:7,"[(254, 214)]",0.7872,joy over one sinner that repenteth than over ninety and nine just persons,sinner that repenteth more than over ninety and nine just persons which need no repentance
"September 7, 1851 ",Doctrine and Covenants 112:29,"[(8772, 571)]",0.787,is as great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,And he that believeth and is baptized shall be saved and he that believeth not and is not baptized shall be damned
"March 14, 1885 ",Doctrine and Covenants 103:27,"[(15301, 540)]",0.78614,life for my sake for He that layeth down his life for my,Let no man be afraid to lay down his life for my sake for whoso layeth down his life for my sake shall find it again
"June 21, 1840 ",3 Nephi 9:2,"[(4230, 386)]",0.78562,of God neither have ye sought to recover Israel WO WO WO unto,Wo wo wo unto this people wo unto the inhabitants of the whole
"October 12, 1856 ",Joseph Smith--History 1:71,"[(5192, 763)]",0.7856,Woodruff laid hands upon his head and ordained him to the office of,baptized meafter which I laid my hands upon his head and ordained him
"January 21, 1847 ",Exodus 3:15,"[(7601, 11)]",0.78495,the Lord your God even the God of your Fathers the God of,of Israel The Lord God of your fathers the God of Abraham the
"September 27, 1838 ",2 Corinthians 5:7,"[(4922, 242)]",0.7849,day as we must walk by faith not by sight until he is,For we walk by faith not by sight
"February 26, 1879 ",Daniel 6:5,"[(14854, 163)]",0.78486,against this Daniel except we find it against him concerning the Law of,Then said these men We shall not find any occasion against this Daniel except we find it against him concerning the law of his God
"January 21, 1844 ",3 Nephi 25:6,"[(4898, 403)]",0.78228,to their fathers lest I come and smite the whole earth with a,the heart of the children to their fathers lest I come and smite the earth with a curse
"January 21, 1844 ",Malachi 4:6,"[(4898, 178)]",0.78228,to their fathers lest I come and smite the whole earth with a,the heart of the children to their fathers lest I come and smite the earth with a curse
"February 26, 1879 ",Isaiah 66:16,"[(14983, 129)]",0.78072,Lord plead with all flesh and the slain of the Lord will be,For by fire and by his sword will the Lord plead with all flesh and the slain of the Lord shall be many
"February 15, 1849 ",1 Nephi 14:14,"[(7747, 299)]",0.78035,armed with righteousness in the power of God in great glory May all,upon all the face of the earth and they were armed with righteousness and with the power of God in great glory
"July 2, 1840 ",Doctrine and Covenants 138:33,"[(3442, 708)]",0.78018,repentance for remission of Sins and the gift of the Holy Ghost by,remission of sins the gift of the Holy Ghost by the laying on of hands
"December 1, 1885 ",Doctrine and Covenants 112:17,"[(15238, 570)]",0.77697,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,in all places where my servant Joseph and my servant Sidney and my servant Hyrum cannot come
"March 10, 1844 ",Mark 1:3,"[(3793, 195)]",0.77614,the wilderness prepare ye the way of the Lord and make his paths,The voice of one crying in the wilderness Prepare ye the way of the Lord make his paths straight
"March 10, 1844 ",Matthew 3:3,"[(3793, 180)]",0.77614,the wilderness prepare ye the way of the Lord and make his paths,The voice of one crying in the wilderness Prepare ye the way of the Lord make his paths straight
"January 21, 1847 ",Doctrine and Covenants 136:34,"[(7625, 694)]",0.77567,the ungodly Thy brethren have rejected you and your testimony even the Nation,Thy brethren have rejected you and your testimony even the nation that has driven you out
"November 18, 1855 ",Doctrine and Covenants 84:69,"[(5840, 518)]",0.77559,eyes of the blind unstop the ears of the deaf cause the lame,In my name they shall open the eyes of the blind and unstop the ears of the deaf
"September 8, 1851 ",Numbers 15:3,"[(8820, 31)]",0.7753,the Lord Bring an offering to the Lord I will make an Offering,And will make an offering by fire unto the Lord a burnt offering
"September 9, 1843 ",Doctrine and Covenants 43:24,"[(1142, 484)]",0.77383,gathereth her chickens under her wings but they would not God and Angels,together as a hen gathereth her chickens under her wings but ye would not!
"March 29, 1838 ",Luke 11:29,"[(2638, 211)]",0.77382,that there should no sign be given but the sign of the Prophet,is an evil generation they seek a sign and there shall no sign be given it but the sign of Jonas the prophet
"January 21, 1847 ",1 Kings 6:1,"[(7603, 69)]",0.77314,children of Israel out of the Land of Egypt and my arm is,the children of Israel were come out of the land of Egypt in
"October 26, 1840 ",Job 1:21,"[(4861, 91)]",0.77292,gave and the Lord hath taken away and blessed be the name of,I return thither the Lord gave and the Lord hath taken away blessed be the name of the Lord
"January 21, 1847 ",Doctrine and Covenants 136:17,"[(7594, 678)]",0.7728,I have told you and fear not thine enemies for they shall not,Go thy way and do as I have told you and fear not thine enemies for they shall not have power to stop my work
"June 1, 1843 ",2 Thessalonians 3:18,"[(4276, 254)]",0.77175,the grace of Jesus Christ our Lord be and abide with you all,The grace of our Lord Jesus Christ be with you all Amen
"June 1, 1843 ",Romans 16:24,"[(4276, 238)]",0.77175,the grace of Jesus Christ our Lord be and abide with you all,The grace of our Lord Jesus Christ be with you all Amen
"June 1, 1843 ",Philippians 4:23,"[(4276, 246)]",0.77175,the grace of Jesus Christ our Lord be and abide with you all,The grace of our Lord Jesus Christ be with you all Amen
"June 1, 1843 ",Revelation 22:21,"[(4276, 286)]",0.77175,the grace of Jesus Christ our Lord be and abide with you all,The grace of our Lord Jesus Christ be with you all Amen
"December 31, 1840 ",Psalms 84:10,"[(1881, 96)]",0.77116,of God than to dwell in the tents of wickedness I felt much,rather be a doorkeeper in the house of my God than to dwell in the tents of wickedness
"December 31, 1836 ",Doctrine and Covenants 1:38,"[(27, 433)]",0.77011,to show that though the heavens and earth pass away the word of,myself and though the heavens and the earth pass away my word shall
"March 14, 1885 ",Doctrine and Covenants 43:26,"[(15303, 485)]",0.76969,in iniquity and the cup of the wrath of mine indignation is full,Behold the day has come when the cup of the wrath of mine indignation is full
"March 18, 1860 ",Doctrine and Covenants 76:34,"[(13516, 513)]",0.76915,which their is no forgiveness in this world nor in the world to,Concerning whom I have said there is no forgiveness in this world nor in the world to come
"August 8, 1847 ",Mormon 7:2,"[(11060, 409)]",0.76846,on the earth and ye are the people ye Elders of Israel and,Know ye that ye are of the house of Israel
"January 13, 1856 ",Doctrine and Covenants 128:17,"[(5381, 616)]",0.76799,"lest I come and smite the Earth with a curse"" Abram received the",of the children to their fathers lest I come and smite the earth with a curse
"December 20, 1850 ",Deuteronomy 33:17,"[(8481, 57)]",0.76753,one of the Horns of Joseph to push the people together to the,like the horns of unicorns with them he shall push the people together
"July 28, 1860 ",Doctrine and Covenants 93:3,"[(13329, 532)]",0.76751,Now Jesus said I am in the Father and the Father in me,And that I am in the Father and the Father in me and the Father and I are one
"March 7, 1844 ",2 Nephi 27:32,"[(2959, 326)]",0.76731,and will make a man an offender for a word But I will,And they that make a man an offender for a word and lay
"March 3, 1840 ",Doctrine and Covenants 98:16,"[(2840, 535)]",0.76503,fathers to the children and the children to the Fathers which fulfills the,of the children to their fathers and the hearts of the fathers to the children
"January 21, 1847 ",Doctrine and Covenants 136:5,"[(7570, 662), (7571, 663)]",0.76474,Teams waggons provisions clothing and other necessaries for the journey that they can When the companies are organized let them go to with their might to,Let each company provide themselves with all the teams wagons provisions clothing and other necessaries for the journey that they can When the companies are organized let them go to with their might to prepare for those who are to tarry
"April 4, 1896 ",Haggai 2:9,"[(15621, 169)]",0.76465,Saith the Lord of hosts I the Lord have spoken and will be,saith the Lord of hosts and in this place will I give peace saith the Lord of hosts
"January 21, 1847 ",Doctrine and Covenants 136:1,"[(7561, 656)]",0.76465,The word and will of the Lord concerning the camp of Israel In,The Word and Will of the Lord concerning the Camp of Israel in their journeyings to the West
"April 15, 1837 ",John 21:18,"[(561, 227)]",0.7646,Thou shalt labour in the Temple of the Lord thy God Thou shalt,and walkedst whither thou wouldest but when thou shalt be old thou shalt
"September 10, 1843 ",Ephesians 4:12,"[(5060, 244)]",0.76459,the work of the ministry and the edifying of the body of Christ,For the perfecting of the saints for the work of the ministry for the edifying of the body of Christ
"April 27, 1847 ",Joshua 15:61,"[(10116, 59)]",0.7645,the wilderness we ar now in a tabernacle in the wilderness and getting,In the wilderness Betharabah Middin and Secacah
"December 19, 1885 ",1 Kings 8:39,"[(15429, 73)]",0.76241,no man as thou knowest for thou knowest all our ways Thou hast,give to every man according to his ways whose heart thou knowest for thou even thou only knowest the hearts of all the children of men
"December 1, 1885 ",Doctrine and Covenants 75:31,"[(15238, 507)]",0.76237,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,And also my servant Ezra Thayre and my servant Thomas B Marsh
"April 15, 1837 ",John 21:18,"[(557, 227)]",0.76073,thee Thou shalt have long life and see good days Thou shalt be,and walkedst whither thou wouldest but when thou shalt be old thou shalt
"January 13, 1856 ",Doctrine and Covenants 2:2,"[(5402, 436)]",0.76072,will turn the hearts of the children to the Ancient Fathers and the,to the fathers and the hearts of the children shall turn to their fathers
"June 23, 1870 ",Doctrine and Covenants 135:6,"[(6809, 649)]",0.76052,the Bible Doctrine and Covenants and in the Book of Mormon the Blessings,the Book of Mormon and this book of Doctrine and Covenants of the
"December 16, 1857 ",Exodus 13:21,"[(13872, 20)]",0.75875,pillar of fire by night and a cloud by day And the way,cloud to lead them the way and by night in a pillar of fire to give them light to go by day and night
"October 20, 1855 ",2 Nephi 31:21,"[(5899, 336)]",0.75846,other name given under Heaven whereby men can be saved we have no,none other way nor name given under heaven whereby man can be saved
"September 5, 1841 ",Joseph Smith--History 1:3,"[(4776, 735)]",0.75804,in the year of our Lord one thousand eight hundred and thirty six,I was born in the year of our Lord one thousand eight hundred
"December 16, 1857 ",Exodus 13:22,"[(13872, 21)]",0.75771,pillar of fire by night and a cloud by day And the way,He took not away the pillar of the cloud by day nor the pillar of fire by night from before the people
"September 8, 1851 ",2 Nephi 9:28,"[(8848, 312)]",0.75733,of God and they think they are in it when they have not,frailties and the foolishness of men! When they are learned they think they
"January 9, 1894 ",Joseph Smith--Matthew 1:35,"[(15715, 734)]",0.75701,all be fulfilled And though heaven and earth pass away my words shall,Although the days will come that heaven and earth shall pass away yet my words shall not pass away but all shall be fulfilled
"July 24, 1887 ",Doctrine and Covenants 84:92,"[(15656, 520)]",0.75636,cold and cleanse your feet in water pure water it matters not whether,cleanse your feet even with water pure water whether in heat or in
"October 9, 1851 ",1 John 5:3,"[(9050, 266)]",0.75626,for we have to keep all the commandments of God if commandments are,For this is the love of God that we keep his commandments and his commandments are not grievous
"April 15, 1837 ",Doctrine and Covenants 42:54,"[(561, 482)]",0.75613,Thou shalt labour in the Temple of the Lord thy God Thou shalt,Thou shalt not take thy brother's garment thou shalt pay for that which thou shalt receive of thy brother
"February 3, 1854 ",1 Thessalonians 4:17,"[(6732, 252)]",0.75594,meet the Lord in the air when he shall come in the clouds,them in the clouds to meet the Lord in the air and so shall we ever be with the Lord
"December 31, 1849 ",Doctrine and Covenants 101:89,"[(8279, 537)]",0.75554,place and in his fury He will vex the Nation And in his,come forth out of his hiding place and in his fury vex the nation
"March 10, 1844 ",Acts 3:19,"[(3927, 232)]",0.75418,your sins may be blotted out when the times of refreshing shall come,Repent ye therefore and be converted that your sins may be blotted out when the times of refreshing shall come from the presence of the Lord
"December 19, 1885 ",Doctrine and Covenants 109:61,"[(15429, 559)]",0.7541,no man as thou knowest for thou knowest all our ways Thou hast,But thou knowest that thou hast a great love for the children of
"April 30, 1897 ",Doctrine and Covenants 121:36,"[(15834, 577)]",0.75356,Els For the Rights of the Priesthood are inseparably connected with the Heavens,That the rights of the priesthood are inseparably connected with the powers of
"December 1, 1885 ",Doctrine and Covenants 124:62,"[(15238, 585)]",0.75295,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,servant Lyman Wight and my servant John Snider and my servant Peter Haws
"April 11, 1893 ",Doctrine and Covenants 118:6,"[(15635, 572)]",0.75268,the Lord unto my servant John Taylor 1808 and my servant Wilford Woodruff,Let my servant John Taylor and also my servant John E Page and
"December 31, 1873 ",Doctrine and Covenants 136:2,"[(13920, 657)]",0.75212,I was Baptized into the Church of Jesus Christ of Latterday Saints I,Let all the people of The Church of Jesus Christ of Latterday Saints
"July 9, 1884 ",Doctrine and Covenants 105:14,"[(15284, 546)]",0.75174,fight your battles as I have said in a former Commandment it is,of Zion for as I said in a former commandment even so will I fulfilI will fight your battles
"February 2, 1851 ",Luke 1:17,"[(8539, 202)]",0.75108,turn the hearts of the children to their fathers and the fathers to,to turn the hearts of the fathers to the children and the disobedient
"March 10, 1844 ",Hebrews 6:5,"[(3902, 256)]",0.75002,and tasted of the powers of the world to come if they shall,And have tasted the good word of God and the powers of the world to come
"September 21, 1847 ",Nehemiah 8:4,"[(11249, 88)]",0.74958,and placed them on his left hand and ourselves on his right and,and Urijah and Hilkiah and Maaseiah on his right hand and on his
"December 1, 1885 ",Doctrine and Covenants 118:6,"[(15238, 573)]",0.74947,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,also my servant Wilford Woodruff and also my servant Willard Richards be appointed
"January 22, 1843 ",Doctrine and Covenants 27:7,"[(2755, 470)]",0.74868,have a son whose name should be John and he should be filled,gave promise that he should have a son and his name should be John and he should be filled with the spirit of Elias
"April 15, 1837 ",Deuteronomy 10:20,"[(561, 42)]",0.74852,Thou shalt labour in the Temple of the Lord thy God Thou shalt,Thou shalt fear the Lord thy God him shalt thou serve and to him shalt thou cleave and swear by his name
"September 10, 1843 ",2 Peter 1:21,"[(5135, 263)]",0.7485,God spake as they were moved upon by the Holy Ghost Isaiah soul,but holy men of God spake as they were moved by the Holy Ghost
"March 27, 1842 ",Doctrine and Covenants 128:16,"[(3745, 607)]",0.7478,"baptized for the dead if the dead rise not and"" if their is",which are baptized for the dead if the dead rise not at all Why are they then baptized for the dead
"February 12, 1853 ",Ecclesiastes 7:2,"[(10956, 101)]",0.7478,for that is the end of all men and the living will lay,to the house of feasting for that is the end of all men and the living will lay it to his heart
"January 21, 1847 ",Exodus 3:16,"[(7601, 15)]",0.7477,the Lord your God even the God of your Fathers the God of,Lord God of your fathers the God of Abraham of Isaac and of
"April 30, 1878 ",1 Chronicles 6:58,"[(14530, 74)]",0.74747,was with her in the morning and administered to her with me He,And Hilen with her suburbs Debir with her suburbs
"April 30, 1843 ",John 3:5,"[(3657, 221)]",0.74632,and the spirit you cannot enter into the kingdom of God saith the,of water and of the Spirit he cannot enter into the kingdom of God
"January 1, 1853 ",Doctrine and Covenants 132:19,"[(10806, 622)]",0.74576,they should come forth in the morning of the first Resurrection and be,come forth in the first resurrection and if it be after the first
"August 27, 1844 ",Doctrine and Covenants 6:8,"[(1007, 440)]",0.74553,shall be the means of doing much good for you shall have the,it shall be unto you and if you desire you shall be the means of doing much good in this generation
"April 15, 1837 ",Doctrine and Covenants 28:15,"[(557, 474)]",0.74453,thee Thou shalt have long life and see good days Thou shalt be,And it shall be given thee from the time thou shalt go until the time thou shalt return what thou shalt do
"August 20, 1843 ",Revelation 20:9,"[(3047, 285)]",0.74423,Camp of the Saints and the Beloved City and fire came down from,camp of the saints about and the beloved city and fire came down from God out of heaven and devoured them
"August 5, 1838 ",Doctrine and Covenants 63:58,"[(3561, 501)]",0.74417,it to be a day of warning and not of many words this,For this is a day of warning and not a day of many
"November 15, 1896 ",Zechariah 12:10,"[(15787, 172)]",0.74413,I will pour out upon you and the inhabitants of Zion and the,And I will pour upon the house of David and upon the inhabitants
"June 1, 1843 ",1 Thessalonians 5:28,"[(4276, 253)]",0.74307,the grace of Jesus Christ our Lord be and abide with you all,The grace of our Lord Jesus Christ be with you Amen
"October 8, 1867 ",Doctrine and Covenants 136:2,"[(7109, 657)]",0.74235,Snow The Authorities of the Church of Jesus Christ of Latterday Saints were,Let all the people of The Church of Jesus Christ of Latterday Saints
"April 15, 1837 ",Luke 4:8,"[(561, 209)]",0.74225,Thou shalt labour in the Temple of the Lord thy God Thou shalt,it is written Thou shalt worship the Lord thy God and him only shalt thou serve
"March 10, 1844 ",Moses 7:10,"[(3849, 727)]",0.74214,to the Fathers lest I come and smite the earth with a curse,themRepent lest I come out and smite them with a curse and they die
"January 9, 1894 ",Matthew 24:35,"[(15715, 193)]",0.74207,all be fulfilled And though heaven and earth pass away my words shall,Heaven and earth shall pass away but my words shall not pass away
"January 9, 1894 ",Luke 21:33,"[(15715, 217)]",0.74207,all be fulfilled And though heaven and earth pass away my words shall,Heaven and earth shall pass away but my words shall not pass away
"January 9, 1894 ",Mark 13:31,"[(15715, 199)]",0.74207,all be fulfilled And though heaven and earth pass away my words shall,Heaven and earth shall pass away but my words shall not pass away
"December 16, 1857 ",Numbers 14:14,"[(13872, 30)]",0.74084,pillar of fire by night and a cloud by day And the way,thou goest before them by day time in a pillar of a cloud and in a pillar of fire by night
"April 30, 1878 ",1 Chronicles 6:59,"[(14530, 75)]",0.74017,was with her in the morning and administered to her with me He,And Ashan with her suburbs and Bethshemesh with her suburbs
"April 30, 1878 ",1 Chronicles 6:69,"[(14530, 77)]",0.74017,was with her in the morning and administered to her with me He,And Aijalon with her suburbs and Gathrimmon with her suburbs
"April 30, 1878 ",Joshua 21:14,"[(14530, 60)]",0.74017,was with her in the morning and administered to her with me He,And Jattir with her suburbs and Eshtemoa with her suburbs
"April 30, 1878 ",Joshua 21:15,"[(14530, 61)]",0.74017,was with her in the morning and administered to her with me He,And Holon with her suburbs and Debir with her suburbs
"April 30, 1878 ",1 Chronicles 6:81,"[(14530, 80)]",0.74017,was with her in the morning and administered to her with me He,And Heshbon with her suburbs and Jazer with her suburbs
"April 30, 1878 ",1 Chronicles 6:73,"[(14530, 78)]",0.74017,was with her in the morning and administered to her with me He,And Ramoth with her suburbs and Anem with her suburbs
"April 30, 1878 ",1 Chronicles 6:75,"[(14530, 79)]",0.74017,was with her in the morning and administered to her with me He,And Hukok with her suburbs and Rehob with her suburbs
"April 30, 1878 ",1 Chronicles 6:68,"[(14530, 76)]",0.74017,was with her in the morning and administered to her with me He,And Jokmeam with her suburbs and Bethhoron with her suburbs
"October 6, 1891 ",Doctrine and Covenants 124:118,"[(15557, 594)]",0.74002,Saints will hearken unto my voice and the counsel of my Servants the,And hearken unto the counsel of my servants Joseph and Hyrum and William
"October 2, 1840 ",Doctrine and Covenants 76:6,"[(4955, 509)]",0.73944,given unto the[e] and great shall be thy reward and eternal shall be,Great shall be their reward and eternal shall be their glory
"October 21, 1855 ",Isaiah 40:9,"[(5671, 118)]",0.73939,the[e] up into the High mountains that bringest good tidings we say that,O Zion that bringest good tidings get thee up into the high mountain
"August 20, 1843 ",Doctrine and Covenants 5:22,"[(3116, 438)]",0.73913,grant unto you eternal life if you should be slain Page 126 1,you and if you do this behold I grant unto you eternal life even if you should be slain
"October 18, 1848 ",Doctrine and Covenants 38:6,"[(11487, 478)]",0.73894,its flight from Gentile America and wo wo wo is their DOOM The,not hear my voice but harden their hearts and wo wo wo is their doom
"August 25, 1896 ",Jeremiah 17:20,"[(15817, 130)]",0.73879,Son of Man Again hear ye the word of the Lord O ye,And say unto them Hear ye the word of the Lord ye kings
"December 31, 1870 ",Doctrine and Covenants 138:53,"[(6860, 712)]",0.7379,to the Prophet Joseph Smith Jr 5 to Hyrum Smith 4 to Father,The Prophet Joseph Smith and my father Hyrum Smith Brigham Young John Taylor
"October 21, 1855 ",Doctrine and Covenants 88:95,"[(5730, 530)]",0.73783,can loose them then shall the curtain of Heaven be unfolded as a,hour and immediately after shall the curtain of heaven be unfolded as a
"June 5, 1837 ",Doctrine and Covenants 136:2,"[(594, 657)]",0.73772,the Church of Jesus Christ of Latterday Saints had it not been for,Let all the people of The Church of Jesus Christ of Latterday Saints
"April 7, 1844 ",Doctrine and Covenants 138:48,"[(426, 710)]",0.73769,and our dead for the fulness of the dispensation of times A dispensation,in the dispensation of the fulness of times for the redemption of the
"April 30, 1854 ",Isaiah 5:5,"[(6355, 105)]",0.73767,will now tell this people what they should do I will tell the,And now go to I will tell you what I will do to
"April 30, 1854 ",2 Nephi 15:5,"[(6355, 317)]",0.73767,will now tell this people what they should do I will tell the,And now go to I will tell you what I will do to
"January 21, 1847 ",Doctrine and Covenants 136:15,"[(7566, 677)]",0.73706,Captains of Hundreds Captains of Fifties and Captains of Tens with a President,And appoint presidents and captains of hundreds and of fifties and of tens
"December 1, 1885 ",Doctrine and Covenants 124:102,"[(15238, 592)]",0.73669,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,servant William and my servant Hyrum and for them alone and let my
"January 4, 1852 ",1 John 5:16,"[(9472, 269)]",0.73656,is not unto death their is a sin unto death which we were,sin not unto death There is a sin unto death I do not say that he shall pray for it
"April 11, 1893 ",Doctrine and Covenants 124:22,"[(15635, 579)]",0.73651,the Lord unto my servant John Taylor 1808 and my servant Wilford Woodruff,Let my servant George and my servant Lyman and my servant John Snider
"June 25, 1843 ",Doctrine and Covenants 128:16,"[(4387, 607)]",0.7356,Apostle said why then are ye baptized for the dead if the dead,which are baptized for the dead if the dead rise not at all Why are they then baptized for the dead
"March 27, 1842 ",Doctrine and Covenants 68:8,"[(3748, 505)]",0.73554,the Name of the Father of the Son and of the Holy Ghost,in the authority which I have given you baptizing in the name of the Father and of the Son and of the Holy Ghost
"February 26, 1879 ",John 13:17,"[(14815, 223)]",0.73517,ye Latter Day Saints do ye not know these things are true You,If ye know these things happy are ye if ye do them
"October 6, 1891 ",Doctrine and Covenants 124:45,"[(15557, 582)]",0.73497,Saints will hearken unto my voice and the counsel of my Servants the,And if my people will hearken unto my voice and unto the voice
"April 15, 1837 ",Romans 13:9,"[(561, 235)]",0.73494,Thou shalt labour in the Temple of the Lord thy God Thou shalt,For this Thou shalt not commit adultery Thou shalt not kill Thou shalt
"December 19, 1885 ",2 Chronicles 6:30,"[(15429, 82)]",0.7346,no man as thou knowest for thou knowest all our ways Thou hast,every man according unto all his ways whose heart thou knowest for thou only knowest the hearts of the children of men
"October 20, 1896 ",Haggai 2:9,"[(15704, 169)]",0.73367,saith the Lord of hosts As I the Lord have suffered so will,saith the Lord of hosts and in this place will I give peace saith the Lord of hosts
"February 2, 1851 ",Moses 7:10,"[(8540, 727)]",0.73352,the children lest I come and smite the whole Earth with a curse,themRepent lest I come out and smite them with a curse and they die
"February 26, 1879 ",Romans 8:17,"[(14842, 233)]",0.73328,and heirs of God and Joint heirs of Jesus Christ to a fulness,And if children then heirs heirs of God and jointheirs with Christ if
"October 18, 1848 ",3 Nephi 9:2,"[(11487, 386)]",0.73202,its flight from Gentile America and wo wo wo is their DOOM The,Wo wo wo unto this people wo unto the inhabitants of the whole
"April 15, 1837 ",Ezekiel 38:8,"[(557, 149)]",0.73182,thee Thou shalt have long life and see good days Thou shalt be,After many days thou shalt be visited in the latter years thou shalt
"July 28, 1860 ",3 Nephi 9:15,"[(13329, 391)]",0.73126,Now Jesus said I am in the Father and the Father in me,the Father from the beginning I am in the Father and the Father in me and in me hath the Father glorified his name
"April 30, 1861 ",Doctrine and Covenants 87:3,"[(12920, 524)]",0.73099,Northern States and the Northern States against the Southern States and that war,For behold the Southern States shall be divided against the Northern States and
"January 13, 1856 ",Malachi 4:6,"[(5381, 178)]",0.73058,"lest I come and smite the Earth with a curse"" Abram received the",the heart of the children to their fathers lest I come and smite the earth with a curse
"January 13, 1856 ",3 Nephi 25:6,"[(5381, 403)]",0.73058,"lest I come and smite the Earth with a curse"" Abram received the",the heart of the children to their fathers lest I come and smite the earth with a curse
"October 7, 1867 ",Doctrine and Covenants 135:6,"[(7018, 649)]",0.73039,To learn the Bible Book of Mormon and Doctrine and Covenants and all,the Book of Mormon and this book of Doctrine and Covenants of the
"February 18, 1855 ",Doctrine and Covenants 1:31,"[(6116, 431)]",0.73002,that we may not look upon sin with any degree of allowance of,For I the Lord cannot look upon sin with the least degree of allowance
"December 31, 1849 ",Isaiah 65:21,"[(8370, 128)]",0.72946,Houses and inhabit them plant vineyards and eat the fruit thereof I Pray,And they shall build houses and inhabit them and they shall plant vineyards and eat the fruit of them
"August 27, 1844 ",Doctrine and Covenants 11:8,"[(1007, 442)]",0.72938,shall be the means of doing much good for you shall have the,it shall be done unto you and if you desire you shall be the means of doing much good in this generation
"March 10, 1844 ",Luke 3:4,"[(3793, 207)]",0.72904,the wilderness prepare ye the way of the Lord and make his paths,prophet saying The voice of one crying in the wilderness Prepare ye the way of the Lord make his paths straight
"April 4, 1896 ",Zechariah 1:3,"[(15621, 171)]",0.72843,Saith the Lord of hosts I the Lord have spoken and will be,unto me saith the Lord of hosts and I will turn unto you saith the Lord of hosts
"March 27, 1842 ",Moses 7:11,"[(3748, 730)]",0.72833,the Name of the Father of the Son and of the Holy Ghost,and truth and of the Holy Ghost which beareth record of the Father and the Son
"April 30, 1861 ",2 Nephi 6:13,"[(12881, 308)]",0.72808,they will be glad to lick up the dust of the feet of,shall lick up the dust of their feet and the people of the
"September 10, 1843 ",Luke 21:24,"[(5123, 216)]",0.72788,be trodden down of the gentiles until the times of the gentiles be,led away captive into all nations and Jerusalem shall be trodden down of the Gentiles until the times of the Gentiles be fulfilled
"September 5, 1841 ",Doctrine and Covenants 20:79,"[(4758, 464)]",0.72787,AMEN O GOD THE Eternal Father I ASK THE IN THE NAME OF,O God the Eternal Father we ask thee in the name of thy
"September 5, 1841 ",Doctrine and Covenants 20:77,"[(4758, 458)]",0.72787,AMEN O GOD THE Eternal Father I ASK THE IN THE NAME OF,O God the Eternal Father we ask thee in the name of thy
"September 5, 1841 ",Moroni 5:2,"[(4758, 421)]",0.72787,AMEN O GOD THE Eternal Father I ASK THE IN THE NAME OF,O God the Eternal Father we ask thee in the name of thy
"September 5, 1841 ",Moroni 4:3,"[(4758, 415)]",0.72787,AMEN O GOD THE Eternal Father I ASK THE IN THE NAME OF,O God the Eternal Father we ask thee in the name of thy
"June 30, 1893 ",Doctrine and Covenants 124:45,"[(15776, 582)]",0.72774,they will hearken unto my voice and do as I command them The,And if my people will hearken unto my voice and unto the voice
"June 24, 1845 ",Doctrine and Covenants 136:2,"[(4592, 657)]",0.72754,the Bishop of the Church of Jesus Christ of Latterday Saints in Clay,Let all the people of The Church of Jesus Christ of Latterday Saints
"December 20, 1850 ",Genesis 26:3,"[(8459, 6)]",0.72708,thee and reveal unto thee thy duty yea and give unto thee many,thee for unto thee and unto thy seed I will give all these
"February 2, 1851 ",Doctrine and Covenants 110:15,"[(8539, 566)]",0.72707,turn the hearts of the children to their fathers and the fathers to,To turn the hearts of the fathers to the children and the children to the fathers lest the whole earth be smitten with a curse
"June 25, 1886 ",Doctrine and Covenants 76:10,"[(15600, 512)]",0.72682,seen nor Ear heard Neither hath it Entered into the heart of Man,which eye has not seen nor ear heard nor yet entered into the heart of man
"January 1, 1877 ",Doctrine and Covenants 133:26,"[(14167, 637), (14168, 638)]",0.7267,smite the rocks and the mountains of Ice shall flow down before them May the highway spedily be cast up in the midst of the great,stay themselves and they shall smite the rocks and the ice shall flow down at their presence And an highway shall be cast up in the midst of the great deep
"March 4, 1842 ",Isaiah 9:6,"[(1591, 108)]",0.72611,minutes past 10 oclock unto us a child is given! unto us a,For unto us a child is born unto us a son is given
"March 4, 1842 ",2 Nephi 19:6,"[(1591, 320)]",0.72611,minutes past 10 oclock unto us a child is given! unto us a,For unto us a child is born unto us a son is given
"December 20, 1850 ",Genesis 17:8,"[(8459, 3)]",0.72585,thee and reveal unto thee thy duty yea and give unto thee many,And I will give unto thee and to thy seed after thee the
"October 20, 1855 ",Matthew 10:6,"[(5917, 186)]",0.7257,the lost sheep of the House of Israel He must also go and,But go rather to the lost sheep of the house of Israel
"April 2, 1885 ",Jeremiah 17:20,"[(15397, 130)]",0.72546,of man Again hear ye the word of the Lord O ye mine,And say unto them Hear ye the word of the Lord ye kings
"April 30, 1846 ",Hebrews 2:6,"[(7152, 255)]",0.72471,is man that thou art mindful of him or the sun of man,But one in a certain place testified saying What is man that thou art mindful of him or the son of man that thou visitest him
